""	"NT1early"	"NT2early"	"NT1late"	"NT2late"
"b4219"	9.04834846653871	5.9835213371463	4.93181584049068	7.54702920610186
"b4220"	18.4076770343892	11.6647617176985	12.5624316343664	14.6233524837589
"b4221"	10.4534624032965	7.90305544954702	7.19070520256891	7.78576632880009
"b4222"	112.258921136883	85.2951226772043	86.3619395759479	132.111779102599
"b4223"	4.56252347648378	4.48215153374308	3.29209245420788	3.12746541031069
"b4224"	2.38283078880815	1.57690903565108	1.25277527340645	2.24460849150538
"b4225"	6.63022815952357	4.49071956352304	5.88712706643069	7.24539545588346
"b4226"	1045.39495978606	883.203983932129	1268.019365568	1817.92488175086
"b4227"	5.04512025638084	1.6310950790642	1.14833888969805	2.88236624022365
"b4230"	1.06077774150889	0.484138739015681	0.427359986054832	0.330784409274476
"b4231"	1.97958242865293	1.56373270515535	1.93503837688027	2.18355208296546
"b4232"	28.142925611399	14.2198981191584	49.288103523455	48.1113526138373
"b4233"	58.7973602262458	29.4228952495096	30.2051769756461	35.6722255534128
"b4234"	60.9855755010585	45.3892697533437	48.390714455747	55.2466463930954
